,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,10,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
1,2,13,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
2,3,21,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
3,4,25,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
4,5,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
5,6,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
6,7,31,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
7,8,35,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
8,9,49,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
9,10,52,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
10,11,54,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
11,12,61,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
12,13,70,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
13,14,74,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
14,15,76,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
15,16,77,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
16,17,78,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
17,18,79,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
18,19,80,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
19,20,82,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
20,21,90,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
21,22,95,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
22,23,104,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
23,24,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
24,25,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
25,26,115,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
26,27,120,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
27,28,132,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
28,29,138,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
29,30,148,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
30,31,152,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
31,32,154,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
32,33,155,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
33,34,162,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
34,35,166,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
35,36,171,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
36,37,175,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
37,38,186,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
38,39,197,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
39,40,206,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
40,41,213,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
41,42,225,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
42,43,229,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
43,44,239,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
44,45,246,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
45,46,259,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
46,47,266,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
47,48,275,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
48,49,285,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
49,50,298,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
